iter	Passed	Remaining
0	144	144814
1	149	74445
2	153	50957
3	157	39269
4	162	32382
5	166	27620
6	170	24181
7	174	21661
8	177	19541
9	180	17840
10	182	16410
11	184	15214
12	186	14197
13	189	13371
14	192	12651
15	195	11993
16	197	11407
17	199	10890
18	201	10424
19	203	9973
20	204	9548
21	205	9156
22	207	8797
23	208	8469
24	209	8166
25	210	7888
26	211	7629
27	212	7389
28	214	7166
29	215	6958
30	216	6764
31	217	6581
32	218	6413
33	220	6251
34	221	6099
35	222	5955
36	223	5817
37	224	5687
38	225	5565
39	226	5447
40	228	5337
41	229	5230
42	230	5129
43	231	5032
44	232	4939
45	234	4853
46	235	4768
47	236	4687
48	237	4609
49	238	4534
50	239	4462
51	240	4393
52	242	4326
53	243	4262
54	244	4203
55	245	4143
56	246	4086
57	248	4031
58	249	3977
59	250	3924
60	251	3872
61	252	3822
62	253	3774
63	254	3727
64	256	3682
65	257	3639
66	258	3596
67	259	3555
68	260	3515
69	261	3476
70	262	3439
71	264	3403
72	265	3367
73	266	3332
74	267	3298
75	268	3265
76	269	3232
77	270	3200
78	271	3170
79	273	3139
80	274	3110
81	275	3081
82	275	3047
83	276	3020
84	278	2995
85	279	2969
86	280	2943
87	281	2918
88	282	2893
89	283	2865
90	284	2842
91	285	2819
92	286	2792
93	287	2769
94	288	2748
95	289	2726
96	290	2706
97	291	2686
98	293	2669
99	294	2651
100	295	2632
101	296	2611
102	297	2593
103	298	2574
104	299	2556
105	301	2539
106	302	2522
107	303	2505
108	304	2488
109	305	2472
110	307	2460
111	308	2447
112	310	2436
113	311	2424
114	314	2417
115	315	2402
116	316	2387
117	317	2373
118	318	2358
119	319	2344
120	320	2330
121	323	2327
122	324	2313
123	325	2300
124	326	2287
125	327	2274
126	329	2261
127	330	2249
128	331	2237
129	332	2225
130	333	2212
131	334	2201
132	335	2189
133	337	2181
134	338	2169
135	339	2158
136	340	2147
137	341	2136
138	343	2125
139	344	2114
140	345	2103
141	346	2091
142	346	2079
143	348	2069
144	349	2059
145	350	2049
146	351	2041
147	353	2032
148	354	2022
149	355	2012
150	356	2003
151	357	1994
152	358	1984
153	359	1975
154	360	1966
155	361	1957
156	362	1949
157	364	1940
158	365	1932
159	366	1924
160	367	1916
161	368	1907
162	369	1899
163	371	1891
164	372	1883
165	373	1875
166	374	1867
167	375	1859
168	376	1852
169	377	1844
170	378	1836
171	380	1829
172	381	1822
173	382	1815
174	383	1808
175	384	1801
176	385	1793
177	386	1786
178	388	1779
179	389	1772
180	390	1765
181	391	1759
182	392	1752
183	393	1745
184	394	1739
185	396	1733
186	397	1727
187	398	1720
188	399	1714
189	400	1708
190	401	1701
191	402	1695
192	403	1689
193	405	1682
194	406	1676
195	407	1671
196	408	1666
197	410	1663
198	412	1658
199	413	1653
200	414	1647
201	415	1641
202	416	1635
203	417	1629
204	418	1624
205	419	1618
206	421	1613
207	422	1607
208	423	1602
209	424	1596
210	425	1591
211	426	1586
212	427	1581
213	429	1575
214	430	1570
215	431	1565
216	432	1560
217	433	1554
218	434	1549
219	435	1544
220	436	1539
221	437	1534
222	439	1529
223	440	1525
224	441	1520
225	442	1515
226	443	1510
227	444	1505
228	445	1500
229	446	1496
230	447	1491
231	449	1486
232	450	1482
233	451	1477
234	452	1472
235	453	1468
236	454	1463
237	455	1459
238	456	1454
239	457	1450
240	459	1445
241	460	1441
242	461	1436
243	462	1432
244	463	1428
245	464	1424
246	465	1419
247	466	1415
248	467	1411
249	468	1406
250	470	1403
251	471	1398
252	472	1394
253	473	1390
254	474	1386
255	475	1382
256	476	1378
257	477	1374
258	479	1370
259	480	1366
260	481	1362
261	482	1358
262	483	1354
263	484	1351
264	485	1347
265	486	1343
266	488	1339
267	489	1336
268	490	1332
269	491	1328
270	492	1324
271	493	1321
272	494	1317
273	495	1313
274	496	1310
275	498	1306
276	499	1303
277	500	1299
278	501	1296
279	502	1292
280	503	1288
281	504	1285
282	506	1282
283	507	1278
284	508	1274
285	509	1271
286	510	1267
